Event,Rank,Team ID,Team,NQS,Average,High,Division,Conference,Region,USAG
UB,42,21,Eastern Michigan,48.995,48.592,49.175,Div I,MAC,C,0
UB,43,45,Northern Illinois,48.99,48.773,49.125,Div I,MAC,SC,0
UB,44,23,George Washington,48.985,48.7,49.2,Div I,EAGL,SE,0
UB,45,51,Pittsburgh,48.945,48.806,49.4,Div I,EAGL,NE,0
UB,46(t),35,Lindenwood,48.94,48.514,49.1,Div I,MIC,SC,1
UB,46(t),62,Temple,48.94,48.742,49.2,Div I,EAGL,NE,0
UB,48,73,West Virginia,48.93,48.758,49.025,Div I,Big 12,SE,0
UB,49,53,Rutgers,48.92,48.677,49.275,Div I,Big Ten,NE,0
UB,50(t),30,Iowa State,48.885,48.585,49.125,Div I,Big 12,NC,0
UB,50(t),128,LIU,48.885,48.748,49.15,Div I,EAGL,NE,0
UB,52,55,Sacramento State,48.845,48.518,49.15,Div I,MPSF,W,0
UB,53,27,Illinois State,48.83,48.492,48.975,Div I,MIC,SC,0
UB,54,11,Bowling Green,48.825,48.596,48.95,Div I,MAC,C,0
UB,55,50,Pennsylvania,48.74,48.54,49.075,Div I,GEC,NE,0
UB,56,1,Air Force,48.685,48.495,49.075,Div I,MPSF,NC,1
UB,57,54,S.E. Missouri,48.68,48.495,49.325,Div I,MIC,SC,1
UB,58,82,Yale,48.65,48.468,48.9,Div I,GEC,NE,1
UB,59,14,Brown,48.54,48.325,48.725,Div I,GEC,NE,1
UB,60,63,Texas Woman's,48.4,48.046,48.9,Div II,MIC,SC,1
UB,61,72,West Chester,48.36,47.969,48.625,Div II,GEC,NE,1
UB,62,75,William &amp; Mary,48.015,47.769,48.675,Div I,GEC,SE,0
UB,63,58,Southern Conn.,47.99,47.219,48.525,Div II,GEC,NE,1
UB,64,78,UW-La Crosse,47.695,47.617,48.025,Div III,WIAC,NC,0
UB,65,13,Brockport,47.68,47.222,48.15,Div III,NCGA East,NE,0
UB,66,12,Bridgeport,47.45,47.04,47.925,Div II,GEC,NE,1
UB,67,79,UW-Oshkosh,47.445,47.153,48.025,Div III,WIAC,NC,0
UB,68,18,Cornell,47.42,46.985,47.65,Div I,GEC,NE,1
UB,69,3,Alaska,47.4,46.934,48.025,Div I,MPSF,W,0
UB,70,81,UW-Whitewater,47.325,47.058,48.375,Div III,WIAC,NC,0
UB,71,156,Fisk,47.01,46.31,47.55,Div III,Ind.,SE,1
UB,72,16,Centenary College,46.905,46.578,47.925,Div III,MIC,C,1
UB,73,31,Ithaca College,46.595,46.06,47.925,Div III,NCGA East,NE,0
UB,74,80,UW-Stout,46.42,46.106,47.3,Div III,WIAC,NC,0
UB,75,19,Cortland State,46.05,45.723,46.475,Div III,NCGA East,NE,0
UB,76,60,Springfield College,45.99,45.681,46.5,Div III,NCGA East,NE,0
UB,77,68,Ursinus College,45.685,45.653,46.85,Div III,NCGA East,NE,0
UB,78,25,Gustavus Adolphus,45.365,44.933,46.525,Div III,WIAC,NC,0
UB,79,77,UW-Eau Claire,44.91,44.608,46.15,Div III,WIAC,NC,0
UB,80,52,Rhode Island College,44.89,44.506,45.575,Div III,NCGA East,NE,0
UB,81,76,Winona State,44.845,44.5,45.475,Div III,WIAC,NC,0
UB,82,26,Hamline,44.78,44.268,45.95,Div III,WIAC,NC,0
UB,83,154,Greenville,44.355,44.132,45.65,Div III,Ind.,NC,0
UB,84,155,Simpson,43.115,42.744,43.55,Div III,Ind.,SC,0
